,status,model,n_factors,n_epochs,lr_all,reg_all,result
36,True,36,50,60,0.002,0.02,"{'test_rmse': array([0.81471156, 0.81558314, 0.81571043]), 'fit_time': (106.01055145263672, 107.65469360351562, 107.5919840335846), 'test_time': (19.016382694244385, 18.68145442008972, 18.688048601150513)}"
37,True,37,50,60,0.002,0.05,"{'test_rmse': array([0.82315184, 0.8231808 , 0.8221338 ]), 'fit_time': (106.3233003616333, 107.96569681167603, 107.85940480232239), 'test_time': (19.022221088409424, 18.942611694335938, 18.606947422027588)}"
38,True,38,50,60,0.002,0.1,"{'test_rmse': array([0.85043704, 0.8498892 , 0.84968625]), 'fit_time': (106.37807488441467, 107.32334303855896, 106.9235680103302), 'test_time': (19.03274703025818, 18.924556970596313, 18.81296944618225)}"
39,True,39,50,60,0.005,0.02,"{'test_rmse': array([0.83070597, 0.83238964, 0.83143404]), 'fit_time': (106.506995677948, 107.80717611312866, 107.80939817428589), 'test_time': (19.081588745117188, 18.88979959487915, 18.760108947753906)}"
40,True,40,50,60,0.005,0.05,"{'test_rmse': array([0.80167208, 0.8008585 , 0.80134698]), 'fit_time': (106.33581113815308, 107.99279141426086, 108.35009860992432), 'test_time': (19.10996413230896, 18.834842920303345, 18.749664068222046)}"
41,True,41,50,60,0.005,0.1,"{'test_rmse': array([0.83050835, 0.83159012, 0.83117022]), 'fit_time': (106.54290819168091, 107.57177114486694, 107.57850861549377), 'test_time': (18.881723165512085, 18.770403385162354, 18.79330611228943)}"
42,True,42,50,60,0.007,0.02,"{'test_rmse': array([0.8405729 , 0.84138452, 0.84114271]), 'fit_time': (106.21632051467896, 107.59190344810486, 107.55773210525513), 'test_time': (18.89439058303833, 18.7133309841156, 18.864362239837646)}"
43,True,43,50,60,0.007,0.05,"{'test_rmse': array([0.80195115, 0.80356007, 0.80169951]), 'fit_time': (106.16327953338623, 107.29714918136597, 108.17064094543457), 'test_time': (18.89323401451111, 18.84327244758606, 18.91704034805298)}"
44,True,44,50,60,0.007,0.1,"{'test_rmse': array([0.82509153, 0.82488745, 0.82412179]), 'fit_time': (106.37170696258545, 107.32017874717712, 107.37415552139282), 'test_time': (18.893937349319458, 18.698719263076782, 18.936542749404907)}"
45,True,45,50,80,0.002,0.02,"{'test_rmse': array([0.81699706, 0.81685351, 0.81671977]), 'fit_time': (142.08512783050537, 142.5488669872284, 142.52529644966125), 'test_time': (18.931305408477783, 18.848407745361328, 18.89598846435547)}"
46,True,46,50,80,0.002,0.05,"{'test_rmse': array([0.81165493, 0.81173901, 0.81169656]), 'fit_time': (141.1876757144928, 142.32382464408875, 142.87913155555725), 'test_time': (18.92845582962036, 18.678708791732788, 18.689796447753906)}"
47,True,47,50,80,0.002,0.1,"{'test_rmse': array([0.84460895, 0.84396537, 0.84334205]), 'fit_time': (140.89558625221252, 143.21100687980652, 142.66799998283386), 'test_time': (19.101025342941284, 18.84778904914856, 18.800520181655884)}"
48,True,48,50,80,0.005,0.02,"{'test_rmse': array([0.83907206, 0.83932643, 0.83952229]), 'fit_time': (141.64054679870605, 142.97237467765808, 143.11851358413696), 'test_time': (18.800796031951904, 19.342058181762695, 18.923226594924927)}"
49,True,49,50,80,0.005,0.05,"{'test_rmse': array([0.80110971, 0.80159608, 0.80104261]), 'fit_time': (141.2976589202881, 142.42430591583252, 142.6912853717804), 'test_time': (19.028226137161255, 18.807928800582886, 18.872790575027466)}"
50,True,50,50,80,0.005,0.1,"{'test_rmse': array([0.82482317, 0.82429879, 0.82479641]), 'fit_time': (142.40233325958252, 142.59297490119934, 143.52663326263428), 'test_time': (18.94975256919861, 18.740629196166992, 18.837134838104248)}"
51,True,51,50,80,0.007,0.02,"{'test_rmse': array([0.84775764, 0.84723254, 0.84770828]), 'fit_time': (141.6961967945099, 142.3351526260376, 141.97864651679993), 'test_time': (19.17552399635315, 18.634482383728027, 18.90936040878296)}"
52,True,52,50,80,0.007,0.05,"{'test_rmse': array([0.80471051, 0.80368686, 0.80384897]), 'fit_time': (141.3016746044159, 142.89676141738892, 142.35018754005432), 'test_time': (18.85060143470764, 18.741585969924927, 18.64907956123352)}"
53,True,53,50,80,0.007,0.1,"{'test_rmse': array([0.82046722, 0.81912177, 0.82004379]), 'fit_time': (141.53993558883667, 142.5783610343933, 142.56166744232178), 'test_time': (18.90618658065796, 18.716074466705322, 18.69752526283264)}"
54,True,54,80,40,0.002,0.02,"{'test_rmse': array([0.82374171, 0.8231318 , 0.82223054]), 'fit_time': (81.81912398338318, 83.52885627746582, 83.09133100509644), 'test_time': (18.982605934143066, 18.722747802734375, 18.9505615234375)}"
55,True,55,80,40,0.002,0.05,"{'test_rmse': array([0.83785161, 0.8381859 , 0.83895553]), 'fit_time': (82.0932788848877, 83.29885125160217, 83.0468533039093), 'test_time': (18.970327615737915, 18.81765389442444, 18.91612148284912)}"
56,True,56,80,40,0.002,0.1,"{'test_rmse': array([0.85883389, 0.86008089, 0.85891742]), 'fit_time': (81.63428926467896, 83.90715980529785, 83.20385646820068), 'test_time': (18.9534592628479, 18.951323747634888, 18.904419422149658)}"
57,True,57,80,40,0.005,0.02,"{'test_rmse': array([0.82695247, 0.82708939, 0.82674201]), 'fit_time': (82.10958623886108, 83.03051042556763, 83.20006155967712), 'test_time': (18.948060750961304, 18.751327991485596, 18.567474603652954)}"
58,True,58,80,40,0.005,0.05,"{'test_rmse': array([0.80421595, 0.80653199, 0.80610953]), 'fit_time': (81.78405904769897, 83.1813759803772, 83.30726909637451), 'test_time': (20.750162363052368, 18.78394341468811, 18.85036063194275)}"
